no,category,subcategory,level,question,A,B,C,D,correct,explanation,terms
1,A. Kiến thức cơ khí cơ bản,Units,Basic,Đơn vị SI cơ bản thường dùng cho kích thước cơ khí là gì?,mm,inch,ft,mil,A,"Trong bản vẽ cơ khí, mm là đơn vị kích thước rất phổ biến.",dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
2,A. Kiến thức cơ khí cơ bản,Units,Basic,1 inch bằng bao nhiêu mm?,25.4,2.54,254,0.254,A,1 inch = 25.4 mm.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
3,A. Kiến thức cơ khí cơ bản,Geometry,Basic,Ký hiệu Ø20 trên bản vẽ chỉ gì?,Bán kính 20 mm,Đường kính 20 mm,Chiều sâu 20 mm,Chu vi 20 mm,B,Ký hiệu Ø biểu thị đường kính.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
4,A. Kiến thức cơ khí cơ bản,Geometry,Basic,Ký hiệu R10 chỉ gì?,Đường kính 10 mm,Bán kính 10 mm,Độ nhám 10,Dung sai 10 mm,B,R biểu thị bán kính.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
5,A. Kiến thức cơ khí cơ bản,Thread,Basic,Ký hiệu M10 thường chỉ loại gì?,Ren hệ mét,Ren inch,Lỗ Ø10,Dung sai H10,A,M là ký hiệu ren hệ mét.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
6,A. Kiến thức cơ khí cơ bản,Thread,Basic,M10×1.5 thể hiện điều gì?,"Đường kính 10 mm, bước ren 1.5 mm","Bán kính 10 mm, bước 1.5 mm","Đường kính 1.5 mm, bước 10 mm",Ren inch 10 TPI,A,10 là đường kính danh nghĩa và 1.5 là bước ren.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
7,A. Kiến thức cơ khí cơ bản,Surface,Basic,Ra 3.2 là thông số gì?,Độ cứng,Độ nhám bề mặt,Độ tròn,Độ phẳng,B,Ra là giá trị độ nhám trung bình số học.,dimension = kích thước; thread = ren; surface roughness = độ nhám bề mặt
8,A. Kiến thức cơ khí cơ bản,Material,Basic,A5052 là nhóm vật liệu nào?,Thép carbon,Nhôm hợp kim,Inox,Đồng,B,A5052 là hợp kim nhôm.,material = vật liệu; alloy = hợp kim; corrosion resistance = khả năng chống ăn mòn
9,A. Kiến thức cơ khí cơ bản,Material,Basic,SUS304 thuộc nhóm nào?,Nhôm,Thép không gỉ,Titan,Đồng,B,SUS304 là thép không gỉ austenitic phổ biến.,material = vật liệu; alloy = hợp kim; corrosion resistance = khả năng chống ăn mòn
10,A. Kiến thức cơ khí cơ bản,Process,Basic,Phay CNC chủ yếu dùng dụng cụ nào?,Dao phay quay,Đá mài cố định,Kim đo,Kích thước danh nghĩa,A,Dao phay quay và chuyển động tương đối với phôi để cắt.,CNC = điều khiển số máy tính
