no,category,subcategory,level,question,A,B,C,D,correct,explanation,terms
1,A. Kiến thức cơ khí cơ bản,Units,Basic,Đơn vị SI cơ bản thường dùng cho kích thước cơ khí là gì?,mm,inch,ft,mil,A,"Trong bản vẽ cơ khí, mm là đơn vị kích thước rất phổ biến.",dimension = kích thước; unit = đơn vị; tolerance = dung sai
2,A. Kiến thức cơ khí cơ bản,Units,Basic,1 inch bằng bao nhiêu mm?,25.4,2.54,254,0.254,A,1 inch = 25.4 mm.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
3,A. Kiến thức cơ khí cơ bản,Geometry,Basic,Ký hiệu Ø20 trên bản vẽ chỉ gì?,Bán kính 20 mm,Đường kính 20 mm,Chiều sâu 20 mm,Chu vi 20 mm,B,Ký hiệu Ø biểu thị đường kính.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
4,A. Kiến thức cơ khí cơ bản,Geometry,Basic,Ký hiệu R10 chỉ gì?,Đường kính 10 mm,Bán kính 10 mm,Độ nhám 10,Dung sai 10 mm,B,R biểu thị bán kính.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
5,A. Kiến thức cơ khí cơ bản,Thread,Basic,Ký hiệu M10 thường chỉ loại gì?,Ren hệ mét,Ren inch,Lỗ Ø10,Dung sai H10,A,M là ký hiệu ren hệ mét.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
6,A. Kiến thức cơ khí cơ bản,Thread,Basic,M10×1.5 thể hiện điều gì?,"Đường kính 10 mm, bước ren 1.5 mm","Bán kính 10 mm, bước 1.5 mm","Đường kính 1.5 mm, bước 10 mm",Ren inch 10 TPI,A,10 là đường kính danh nghĩa và 1.5 là bước ren.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
7,A. Kiến thức cơ khí cơ bản,Surface,Basic,Ra 3.2 là thông số gì?,Độ cứng,Độ nhám bề mặt,Độ tròn,Độ phẳng,B,Ra là giá trị độ nhám trung bình số học.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
8,A. Kiến thức cơ khí cơ bản,Material,Basic,A5052 là nhóm vật liệu nào?,Thép carbon,Nhôm hợp kim,Inox,Đồng,B,A5052 là hợp kim nhôm.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
9,A. Kiến thức cơ khí cơ bản,Material,Basic,SUS304 thuộc nhóm nào?,Nhôm,Thép không gỉ,Titan,Đồng,B,SUS304 là thép không gỉ austenitic phổ biến.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
10,A. Kiến thức cơ khí cơ bản,Process,Basic,Phay CNC chủ yếu dùng dụng cụ nào?,Dao phay quay,Đá mài cố định,Kim đo,Kích thước danh nghĩa,A,Dao phay quay và chuyển động tương đối với phôi để cắt.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
11,A. Kiến thức cơ khí cơ bản,Process,Basic,Tiện CNC phù hợp đặc biệt với chi tiết nào?,Chi tiết tròn xoay,Tấm phẳng lớn,Mối hàn,Chi tiết chỉ có mặt phẳng,A,Tiện rất phù hợp với các bề mặt tròn xoay.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
12,A. Kiến thức cơ khí cơ bản,Measurement,Basic,Panme ngoài dùng chủ yếu để đo gì?,Chiều dài/đường kính ngoài chính xác,Nhiệt độ,Độ nhám,Độ cứng,A,Panme ngoài dùng để đo kích thước ngoài với độ chính xác cao.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
13,A. Kiến thức cơ khí cơ bản,Measurement,Basic,Thước cặp có thể dùng để đo gì?,Chỉ đường kính ngoài,"Ngoài, trong và chiều sâu",Kích thước danh nghĩa,Chỉ góc,B,"Thước cặp có mỏ ngoài, mỏ trong và thanh đo sâu.",dimension = kích thước; unit = đơn vị; tolerance = dung sai
14,A. Kiến thức cơ khí cơ bản,Drawing,Basic,Mặt cắt trên bản vẽ nhằm mục đích chính nào?,Trang trí,Thể hiện cấu tạo bên trong,Thay đổi vật liệu,Xác định giá bán,B,Mặt cắt giúp thể hiện các đặc điểm bên trong khó thấy.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
15,A. Kiến thức cơ khí cơ bản,Drawing,Basic,Nét đứt trên bản vẽ thường biểu diễn gì?,Đường bao thấy,Đường bao khuất,Đường tâm,Đường kích thước,B,Nét đứt thường dùng cho đường bao/chi tiết khuất.,dimension = kích thước; unit = đơn vị; tolerance = dung sai
